id,url,final_url,http_status,retrieved_at,sha256,content_type,used_in_analysis,saved_text
amazon-smb,https://sellingpartners.aboutamazon.com/2024-small-business-empowerment-report,https://sellingpartners.aboutamazon.com/2024-small-business-empowerment-report,404,2026-09-19T03:19:45.990444+00:00,59199197d4fedc47d700254181520bd68e55d87965d8b33637d2fdfd24909cd6,text/html;charset=UTF-8,False,web/amazon-smb.txt
amvo-estudios,https://amvo.org.mx/estudios/,https://amvo.org.mx/estudios,200,2026-09-19T03:19:44.820279+00:00,e11f495d98eb1be7801472771d0107bb954ae2dfdf4a122274150fbd58103c13,text/html; charset=UTF-8,False,web/amvo-estudios.txt
amvo-evo-2026,https://amvo.org.mx/descarga-evo-2026,https://amvo.org.mx/descarga-evo-2026,200,2026-09-19T03:21:00.744987+00:00,fece158679d76259a7366dc0d94b0eeb3424a97598647bc4856789aad5c7318f,text/html; charset=UTF-8,True,web/amvo-evo-2026.txt
bls-customer-service,https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,403,2026-09-19T03:15:05.825938+00:00,a77deafc34c6029b9380d743941cd281bd43a278dc12b0da025ff35c2e06658c,text/html,False,web/bls-customer-service.txt
bls-oes,https://www.bls.gov/oes/2024/may/oes434051.htm,https://www.bls.gov/oes/2024/may/oes434051.htm,403,2026-09-19T03:19:45.750881+00:00,96088fe52a21321e4ef0ae5f8e1e993b84fe61cb6faff72f80f11d80f4ff9ff9,text/html,False,web/bls-oes.txt
branch-home,https://www.branchfurniture.com/,https://www.branchfurniture.com/,200,2026-09-19T03:29:51.207831+00:00,eb604d64571acdec96c942096db56affc0b89d66e16aeb45d9018c804a40ef54,text/html; charset=utf-8,True,web/branch-home.txt
brumate-home,https://www.brumate.com/,https://www.brumate.com/en-mx/,200,2026-09-19T03:29:52.855402+00:00,3ed9946feadbe4681011b336c091eda25f4460b46a9e56aac1077da4e5e49d03,text/html,True,web/brumate-home.txt
burrow-home,https://burrow.com/,https://burrow.com/,200,2026-09-19T03:29:54.988879+00:00,14365f4fc9d6c2550c7c3d4e04f0aeef6b9126e10321bb1835e2c3c0dc5e2a50,text/html,True,web/burrow-home.txt
caraway-about,https://www.carawayhome.com/pages/our-story,https://www.carawayhome.com/en-mx/pages/our-story,200,2026-09-19T03:21:04.467485+00:00,1bbff2468479d8a786a0c51c90862ee6a4b402c5f727e891fe89de789a946bd0,text/html,True,web/caraway-about.txt
census-definitions,https://www.census.gov/programs-surveys/susb/about/glossary.html,https://www.census.gov/programs-surveys/susb/about/glossary.html,200,2026-09-19T03:15:02.860218+00:00,dc223872c435d26140bea32b3282dcb3de46a73635a3a454b5745cd8a9884e88,text/html; charset=UTF-8,True,web/census-definitions.txt
census-ecom-timeseries,https://www.census.gov/retail/mrts/www/data/pdf/ec_current.pdf,https://www.census.gov/retail/mrts/www/data/pdf/ec_current.pdf,200,2026-09-19T03:19:44.690022+00:00,5c643c6c03bedad23602c3bbf30cfe44c904365f3b7d03f0b950a16d9eb67589,application/pdf,True,web/census-ecom-timeseries.txt
census-ecommerce,https://www.census.gov/retail/ecommerce.html,https://www.census.gov/retail/ecommerce.html,200,2026-09-19T03:13:09.306315+00:00,8e27b9907c3dd50bd407b0c23c45c24a6984ab42d259b69d28c3231b2a57fbd5,text/html; charset=utf-8,True,web/census-ecommerce.txt
