scenario,month,year,new_accounts_targeted,cumulative_accounts_targeted,meetings_expected,pilots_expected,wins_before_lag,matured_wins,backlog_eom,lost_logos,new_logos,active_logos_eom,recurring_revenue,setup_revenue,recurring_cogs,onboarding_cost,failed_pilot_cost,fixed_opex,extra_marketing,net_cash_flow_before_financing,cash_before_financing,arr_exit
conservador,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8000.0000,1000.0000,-9000.0000,-9000.0000,0.0000
conservador,2,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8000.0000,1000.0000,-9000.0000,-18000.0000,0.0000
conservador,3,1,25.0000,25.0000,2.0000,0.6000,0.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.8000,8000.0000,1000.0000,-9046.8000,-27046.8000,0.0000
conservador,4,1,25.0000,50.0000,2.0000,0.6000,0.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.8000,8000.0000,1000.0000,-9046.8000,-36093.6000,0.0000
conservador,5,1,25.0000,75.0000,2.0000,0.6000,0.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.8000,8000.0000,1000.0000,-9046.8000,-45140.4000,0.0000
conservador,6,1,25.0000,100.0000,2.0000,0.6000,0.2100,0.2100,0.0000,0.0000,0.2100,0.2100,83.8950,0.0000,25.8723,100.8000,46.8000,8000.0000,1000.0000,-9089.5773,-54229.9773,2013.4800
conservador,7,1,25.0000,125.0000,2.0000,0.6000,0.2100,0.2100,0.0000,0.0042,0.2100,0.4158,248.3292,0.0000,76.5819,100.8000,46.8000,8000.0000,1000.0000,-8975.8527,-63205.8300,3986.6904
conservador,8,1,25.0000,150.0000,2.0000,0.6000,0.2100,0.2100,0.0000,0.0083,0.2100,0.6175,409.4747,0.0000,126.2773,100.8000,46.8000,8000.0000,1000.0000,-8864.4026,-72070.2326,5920.4366
conservador,9,1,25.0000,175.0000,2.0000,0.6000,0.2100,0.2100,0.0000,0.0123,0.2100,0.8151,567.3973,0.0000,174.9789,100.8000,46.8000,8000.0000,1000.0000,-8755.1816,-80825.4141,7815.5079
conservador,10,1,25.0000,200.0000,2.0000,0.6000,0.2100,0.2100,0.0000,0.0163,0.2100,1.0088,722.1615,0.0000,222.7064,100.8000,46.8000,8000.0000,1000.0000,-8648.1449,-89473.5590,9672.6777
conservador,11,1,25.0000,225.0000,2.0000,0.6000,0.2100,0.2100,0.0000,0.0202,0.2100,1.1987,873.8303,0.0000,269.4793,100.8000,46.8000,8000.0000,1000.0000,-8543.2490,-98016.8080,11492.7041
conservador,12,1,25.0000,250.0000,2.0000,0.6000,0.2100,0.2100,0.0000,0.0240,0.2100,1.3847,1022.4658,0.0000,315.3168,100.8000,46.8000,8000.0000,1000.0000,-8440.4510,-106457.2590,13276.3301
conservador,13,2,45.0000,295.0000,3.6000,1.0800,0.3780,0.2100,0.0000,0.0277,0.2100,1.5670,1168.1286,0.0000,360.2376,100.8000,84.2400,10000.0000,1000.0000,-10377.1489,-116834.4079,15024.2835
conservador,14,2,45.0000,340.0000,3.6000,1.0800,0.3780,0.2100,0.0000,0.0313,0.2100,1.7456,1310.8781,0.0000,404.2599,100.8000,84.2400,10000.0000,1000.0000,-10278.4217,-127112.8297,16737.2778
conservador,15,2,45.0000,385.0000,3.6000,1.0800,0.3780,0.2100,0.0000,0.0349,0.2100,1.9207,1450.7727,0.0000,447.4018,100.8000,84.2400,10000.0000,1000.0000,-10181.6691,-137294.4988,18416.0122
conservador,16,2,45.0000,430.0000,3.6000,1.0800,0.3780,0.3780,0.0000,0.0384,0.3780,2.2603,1654.9853,0.0000,510.3786,181.4400,84.2400,10000.0000,1000.0000,-10121.0733,-147415.5721,21671.9560
conservador,17,2,45.0000,475.0000,3.6000,1.0800,0.3780,0.3780,0.0000,0.0452,0.3780,2.5931,1920.8874,0.0000,592.3798,181.4400,84.2400,10000.0000,1000.0000,-9937.1724,-157352.7444,24862.7809
conservador,18,2,45.0000,520.0000,3.6000,1.0800,0.3780,0.3780,0.0000,0.0519,0.3780,2.9193,2181.4714,0.0000,672.7409,181.4400,84.2400,10000.0000,1000.0000,-9756.9495,-167109.6940,27989.7893
conservador,19,2,45.0000,565.0000,3.6000,1.0800,0.3780,0.3780,0.0000,0.0584,0.3780,3.2389,2436.8438,0.0000,751.4949,181.4400,84.2400,10000.0000,1000.0000,-9580.3311,-176690.0250,31054.2575
conservador,20,2,45.0000,610.0000,3.6000,1.0800,0.3780,0.3780,0.0000,0.0648,0.3780,3.5521,2687.1087,0.0000,828.6737,181.4400,84.2400,10000.0000,1000.0000,-9407.2450,-186097.2701,34057.4363
conservador,21,2,45.0000,655.0000,3.6000,1.0800,0.3780,0.3780,0.0000,0.0710,0.3780,3.8590,2932.3683,0.0000,904.3090,181.4400,84.2400,10000.0000,1000.0000,-9237.6207,-195334.8907,37000.5516
conservador,22,2,45.0000,700.0000,3.6000,1.0800,0.3780,0.3780,0.0000,0.0772,0.3780,4.1599,3172.7227,0.0000,978.4316,181.4400,84.2400,10000.0000,1000.0000,-9071.3888,-204406.2796,39884.8046
conservador,23,2,45.0000,745.0000,3.6000,1.0800,0.3780,0.3780,0.0000,0.0832,0.3780,4.4547,3408.2700,0.0000,1051.0717,181.4400,84.2400,10000.0000,1000.0000,-8908.4816,-213314.7612,42711.3725
conservador,24,2,45.0000,790.0000,3.6000,1.0800,0.3780,0.3780,0.0000,0.0891,0.3780,4.7436,3639.1064,0.0000,1122.2590,181.4400,84.2400,10000.0000,1000.0000,-8748.8326,-222063.5938,45481.4090
conservador,25,3,65.0000,855.0000,5.2000,1.5600,0.5460,0.3780,0.0000,0.0949,0.3780,5.0267,3865.3261,0.0000,1192.0225,181.4400,121.6800,12000.0000,1000.0000,-10629.8165,-232693.4102,48196.0448
conservador,26,3,65.0000,920.0000,5.2000,1.5600,0.5460,0.3780,0.0000,0.1005,0.3780,5.3042,4087.0213,0.0000,1260.3908,181.4400,121.6800,12000.0000,1000.0000,-10476.4895,-243169.8997,50856.3879
conservador,27,3,65.0000,985.0000,5.2000,1.5600,0.5460,0.3780,0.0000,0.1061,0.3780,5.5761,4304.2827,0.0000,1327.3918,181.4400,121.6800,12000.0000,1000.0000,-10326.2291,-253496.1288,53463.5242
